InspectionID,BusinessName,License,Address,City,State,Zip,Latitude,Longitude,DatePerformed,Result,ViolationID,Name,Comments
509506,MCDONALD'S,1490035,6900 S LAFAYETTE AVE,CHICAGO,IL,60621,41.769155335336,-87.6268126762725,2012-01-20,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","UNUSED DEEP FREEZER NOT CLEAN, EXCESSIVE FOOD DEBRIS. CLEAN AND MAINTAIN SAME."
547973,MCDONALD'S RESTAURANT,1193659,5015 W MADISON ST,CHICAGO,IL,60644,41.8803177115273,-87.750746355478,2012-01-27,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","Inspector Comments: Inspector Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily.MUST CLEAN GREASE & FOOD DEBRI FROM ALL EQUIPMENT,COOLERS,CARTS,CONDIMENT BINS,SODA MACHINE  "
557673,"MCDONALD'S REST. OF ILLINOIS, INC",1332910,2317 N CICERO AVE,CHICAGO,IL,60639,41.9229310425538,-87.7461194779431,2012-01-20,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",Interior ice machine panel not cleaned. Instructed to detail clean and sanitize.
588272,MCDONALD'S,1578392,119 N WABASH AVE,CHICAGO,IL,60602,41.8837168512818,-87.6260862245146,2012-02-28,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",MUST REMOVE GREASE SPILL FROM INTERIOR OF DEEP FRYER IN PREP AREA.
598574,MCDONALD'S #4308 (MCDONALD'S),1904304,3867 S ARCHER AVE BLDG,CHICAGO,IL,60632,41.823158345079,-87.6892366472357,2012-01-19,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS",
606532,MCDONALD'S RESTAURANT,1678414,6336 S ASHLAND AVE,CHICAGO,IL,60636,41.7783609760376,-87.6643368634279,2012-01-13,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","CLEAN INTERIOR AND EXTERIOR OF ALL BEVERAGE MACHINES, NOZZLES AND SPIGOTS, PREP COOLERS AND FREEZERS, AND ICE MACHINE."
606576,MCDONALD'S,1718785,8321 S ASHLAND AVE,CHICAGO,IL,60620,41.7424208244385,-87.6630911433338,2012-02-06,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","CLEAN STORAGE SHELVES AND CARTS IN BASEMENT WHERE NEEDED, ALL UNUSED EQUIPMENT STORED IN LOCKED ROOM IN BASEMENT, EXTERIOR OF LIDS ON SWEET EA IN WALK-IN COOLER, BACK OPEN SECTION OF POP DISPENSERS IN FOOD PREP AREA, AND INTERIOR OF CABINETS UNDERNEATH DEEP FRYERS,   "
626363,MCDONALD'S,33706,3200 W ROOSEVELT RD,CHICAGO,IL,60624,41.8665138881923,-87.7057335990255,2012-01-12,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily. CLEAN EXTERIOR SURFACES OF COOKING EQUIPMENT, COFFEE MACHINES, SODA MACHINES ETC AND MAINTAIN. CLEAN INTERIOR BOTTOMS OF FRYERS TO REMOVE DUST OBSERVED."
626383,MCDONALD'S,33706,3200 W ROOSEVELT RD,CHICAGO,IL,60624,41.8665138881923,-87.7057335990255,2012-01-25,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily. CLEAN EXTERIOR SURFACES OF COOKING EQUIPMENT, COFFEE MACHINES, SODA MACHINES ETC AND MAINTAIN. CLEAN INTERIOR BOTTOMS OF FRYERS TO REMOVE DUST OBSERVED."
659884,MCDONALD'S,33706,3200 W ROOSEVELT RD,CHICAGO,IL,60624,41.8665138881923,-87.7057335990255,2012-01-05,Pass,33,"FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS","All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitized daily.    CLEAN EXTERIOR SURFACES OF COOKING EQUIPMENT, COFFEE MACHINES, SODA MACHINES ETC AND MAINTAIN.  CLEAN INTERIOR BOTTOMS OF FRYERS TO REMOVE DUST OBSERVED."
